  
       XFOIL         Version 6.99
  
 Calculated polar for: Profile44_10                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000   0.0176   0.00992   0.00519  -0.1715   0.7891   0.3429
  -8.500   0.0886   0.00911   0.00446  -0.1759   0.7829   0.3994
  -8.000   0.1527   0.00893   0.00432  -0.1779   0.7762   0.4297
  -7.500   0.2145   0.00884   0.00423  -0.1791   0.7681   0.4415
  -7.000   0.2770   0.00875   0.00404  -0.1804   0.7577   0.4492
  -6.500   0.3382   0.00850   0.00385  -0.1815   0.7401   0.4573
  -6.000   0.3917   0.00884   0.00374  -0.1812   0.6356   0.4627
  -5.500   0.4484   0.00927   0.00395  -0.1816   0.6003   0.4680
  -5.000   0.5066   0.00956   0.00405  -0.1823   0.5758   0.4717
  -4.500   0.5651   0.00971   0.00408  -0.1832   0.5563   0.4767
  -4.000   0.6225   0.00996   0.00428  -0.1836   0.5388   0.4815
  -3.500   0.6804   0.01018   0.00446  -0.1841   0.5248   0.4855
  -3.000   0.7362   0.01053   0.00470  -0.1843   0.5093   0.4900
  -2.500   0.7947   0.01069   0.00483  -0.1850   0.5000   0.4937
  -2.000   0.8502   0.01102   0.00504  -0.1851   0.4879   0.4963
  -1.500   0.9077   0.01112   0.00515  -0.1857   0.4789   0.5016
  -1.000   0.9631   0.01138   0.00542  -0.1857   0.4700   0.5053
  -0.500   1.0154   0.01181   0.00579  -0.1852   0.4590   0.5088
  -0.000   1.0714   0.01200   0.00604  -0.1854   0.4541   0.5124
   0.500   1.1258   0.01227   0.00630  -0.1853   0.4475   0.5160
   1.000   1.1772   0.01267   0.00665  -0.1846   0.4400   0.5190
   1.500   1.2291   0.01304   0.00701  -0.1842   0.4329   0.5226
   2.000   1.2819   0.01325   0.00731  -0.1838   0.4284   0.5268
   2.500   1.3292   0.01360   0.00772  -0.1824   0.4222   0.5301
   3.000   1.3718   0.01414   0.00825  -0.1802   0.4142   0.5334
   3.500   1.4185   0.01461   0.00876  -0.1789   0.4033   0.5374
   4.000   1.4621   0.01525   0.00937  -0.1772   0.3895   0.5409
   4.500   1.5074   0.01587   0.01000  -0.1759   0.3763   0.5434
   5.000   1.5512   0.01658   0.01069  -0.1745   0.3651   0.5467
   5.500   1.5943   0.01733   0.01148  -0.1730   0.3493   0.5507
   6.000   1.6319   0.01841   0.01252  -0.1708   0.3293   0.5539
   6.500   1.6674   0.01965   0.01368  -0.1683   0.3055   0.5575
   7.000   1.6908   0.02166   0.01547  -0.1645   0.2664   0.5614
   7.500   1.7041   0.02438   0.01789  -0.1597   0.2185   0.5646
   8.000   1.7102   0.02767   0.02093  -0.1543   0.1730   0.5668
   8.500   1.7160   0.03107   0.02417  -0.1494   0.1381   0.5694
   9.000   1.7130   0.03526   0.02822  -0.1439   0.1066   0.5719
   9.500   1.7158   0.03932   0.03225  -0.1396   0.0869   0.5745
  10.000   1.7192   0.04366   0.03661  -0.1358   0.0726   0.5776
  10.500   1.7187   0.04875   0.04170  -0.1325   0.0604   0.5810
  11.000   1.7179   0.05448   0.04751  -0.1301   0.0514   0.5834
  11.500   1.7086   0.06162   0.05472  -0.1284   0.0411   0.5854
  12.000   1.6973   0.06931   0.06250  -0.1273   0.0348   0.5880
  12.500   1.6846   0.07722   0.07051  -0.1266   0.0281   0.5897
  13.000   1.6765   0.08465   0.07811  -0.1262   0.0252   0.5921
  13.500   1.6621   0.09301   0.08657  -0.1265   0.0207   0.5941
  14.000   1.6526   0.10081   0.09446  -0.1271   0.0170   0.5963
  14.500   1.6463   0.10823   0.10198  -0.1281   0.0146   0.5986
  15.000   1.6424   0.11530   0.10912  -0.1295   0.0123   0.6011
  15.500   1.6431   0.12178   0.11572  -0.1311   0.0109   0.6039
  16.000   1.6455   0.12800   0.12206  -0.1329   0.0102   0.6067
  16.500   1.6508   0.13371   0.12789  -0.1348   0.0096   0.6095
  17.000   1.6531   0.13992   0.13422  -0.1372   0.0090   0.6121
  17.500   1.6552   0.14602   0.14039  -0.1399   0.0073   0.6147
  18.000   1.6541   0.15272   0.14718  -0.1433   0.0057   0.6174
  18.500   1.6532   0.15924   0.15374  -0.1468   0.0029   0.6201
  19.000   1.6445   0.16717   0.16179  -0.1518   0.0014   0.6224
  19.500   1.6459   0.17348   0.16824  -0.1559   0.0013   0.6252
  20.000   1.6479   0.17961   0.17448  -0.1601   0.0011   0.6282
  20.500   1.6481   0.18609   0.18110  -0.1650   0.0010   0.6309
  21.000   1.6518   0.19194   0.18708  -0.1695   0.0009   0.6341
  21.500   1.6514   0.19853   0.19381  -0.1750   0.0009   0.6372
  22.000   1.6539   0.20451   0.19992  -0.1801   0.0008   0.6406
  22.500   1.6515   0.21148   0.20704  -0.1864   0.0008   0.6435
  23.000   1.6497   0.21835   0.21407  -0.1929   0.0008   0.6462
  23.500   1.6490   0.22494   0.22081  -0.1993   0.0007   0.6490
  24.500   1.6457   0.23860   0.23477  -0.2133   0.0008   0.6543
  25.000   1.6398   0.24650   0.24286  -0.2217   0.0008   0.6568
