  
       XFOIL         Version 6.99
  
 Calculated polar for: Profile46_0                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.7053   0.01854   0.01195  -0.0507   0.7174   0.0188
  -8.500  -0.6475   0.01661   0.00995  -0.0556   0.6999   0.0230
  -8.000  -0.5860   0.01500   0.00830  -0.0604   0.6840   0.0314
  -7.500  -0.5257   0.01367   0.00702  -0.0640   0.6686   0.0513
  -7.000  -0.4644   0.01223   0.00577  -0.0677   0.6534   0.0957
  -6.500  -0.4009   0.01032   0.00432  -0.0723   0.6385   0.2088
  -6.000  -0.3364   0.00867   0.00320  -0.0764   0.6236   0.3495
  -5.500  -0.2745   0.00831   0.00294  -0.0781   0.6088   0.4049
  -5.000  -0.2132   0.00828   0.00289  -0.0792   0.5947   0.4361
  -4.500  -0.1524   0.00847   0.00311  -0.0800   0.5811   0.4656
  -4.000  -0.0915   0.00884   0.00335  -0.0807   0.5684   0.4747
  -3.500  -0.0307   0.00870   0.00310  -0.0818   0.5563   0.4829
  -3.000   0.0304   0.00867   0.00302  -0.0828   0.5446   0.4902
  -2.500   0.0911   0.00874   0.00300  -0.0838   0.5333   0.4955
  -2.000   0.1522   0.00879   0.00301  -0.0847   0.5239   0.5014
  -1.500   0.2129   0.00888   0.00299  -0.0857   0.5116   0.5058
  -1.000   0.2735   0.00899   0.00301  -0.0866   0.5006   0.5091
  -0.500   0.3346   0.00905   0.00304  -0.0876   0.4941   0.5114
  -0.000   0.3953   0.00898   0.00294  -0.0887   0.4841   0.5179
   0.500   0.4551   0.00910   0.00299  -0.0895   0.4704   0.5234
   1.000   0.5152   0.00923   0.00311  -0.0904   0.4619   0.5280
   1.500   0.5758   0.00929   0.00319  -0.0914   0.4567   0.5326
   2.000   0.6358   0.00941   0.00328  -0.0922   0.4479   0.5372
   2.500   0.6952   0.00963   0.00342  -0.0930   0.4386   0.5404
   3.000   0.7536   0.00991   0.00366  -0.0937   0.4259   0.5443
   3.500   0.8134   0.00995   0.00378  -0.0946   0.4220   0.5486
   4.000   0.8730   0.01005   0.00394  -0.0954   0.4174   0.5530
   4.500   0.9321   0.01021   0.00413  -0.0962   0.4122   0.5575
   5.000   0.9905   0.01040   0.00435  -0.0968   0.4058   0.5615
   5.500   1.0475   0.01071   0.00464  -0.0973   0.3947   0.5658
   6.000   1.1058   0.01083   0.00477  -0.0980   0.3798   0.5706
   6.500   1.1616   0.01114   0.00503  -0.0983   0.3592   0.5747
   7.000   1.2177   0.01147   0.00539  -0.0987   0.3461   0.5801
   7.500   1.2748   0.01169   0.00569  -0.0992   0.3334   0.5850
   8.000   1.3188   0.01301   0.00658  -0.0982   0.2603   0.5894
   8.500   1.3473   0.01551   0.00850  -0.0956   0.1633   0.5936
   9.000   1.3744   0.01768   0.01033  -0.0927   0.1073   0.5980
   9.500   1.3979   0.01945   0.01199  -0.0892   0.0816   0.6029
  10.000   1.4248   0.02124   0.01381  -0.0868   0.0668   0.6081
  10.500   1.4291   0.02509   0.01754  -0.0841   0.0415   0.6132
  11.000   1.4307   0.02986   0.02229  -0.0825   0.0250   0.6190
  11.500   1.4388   0.03434   0.02684  -0.0815   0.0177   0.6250
  12.000   1.4432   0.03930   0.03190  -0.0807   0.0135   0.6302
  12.500   1.4472   0.04441   0.03713  -0.0801   0.0114   0.6359
  13.000   1.4506   0.04968   0.04256  -0.0797   0.0105   0.6417
  13.500   1.4516   0.05545   0.04848  -0.0796   0.0099   0.6476
  14.000   1.4529   0.06130   0.05446  -0.0796   0.0090   0.6541
  14.500   1.4514   0.06773   0.06104  -0.0799   0.0080   0.6608
  15.000   1.4561   0.07342   0.06688  -0.0803   0.0076   0.6685
  15.500   1.4569   0.07982   0.07344  -0.0811   0.0071   0.6767
  16.000   1.4618   0.08561   0.07937  -0.0818   0.0062   0.6865
  16.500   1.4579   0.09287   0.08681  -0.0832   0.0054   0.6975
  17.000   1.4628   0.09876   0.09284  -0.0844   0.0036   0.7134
  17.500   1.4518   0.10720   0.10146  -0.0869   0.0020   0.7305
  18.000   1.4563   0.11329   0.10770  -0.0888   0.0019   0.7517
  18.500   1.4542   0.12051   0.11513  -0.0916   0.0017   0.7761
  19.000   1.4583   0.12671   0.12156  -0.0942   0.0016   0.8127
  19.500   1.4652   0.13153   0.12672  -0.0957   0.0016   1.0000
  20.000   1.4721   0.13724   0.13252  -0.0985   0.0015   1.0000
  20.500   1.4688   0.14481   0.14023  -0.1028   0.0015   1.0000
  21.000   1.4739   0.15090   0.14642  -0.1065   0.0015   1.0000
  21.500   1.4679   0.15898   0.15466  -0.1118   0.0014   1.0000
  22.000   1.4728   0.16506   0.16085  -0.1160   0.0014   1.0000
  22.500   1.4660   0.17338   0.16933  -0.1223   0.0014   1.0000
  23.000   1.4676   0.18005   0.17613  -0.1274   0.0014   1.0000
  23.500   1.4599   0.18866   0.18490  -0.1346   0.0014   1.0000
  24.000   1.4601   0.19570   0.19211  -0.1406   0.0014   1.0000
  24.500   1.4504   0.20494   0.20153  -0.1489   0.0014   1.0000
  25.000   1.4490   0.21242   0.20914  -0.1558   0.0014   1.0000
