  
       XFOIL         Version 6.99
  
 Calculated polar for: Profile47_-10                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -1.0890   0.03793   0.03150   0.0132   0.6576   0.0147
  -8.500  -1.0666   0.03493   0.02839   0.0142   0.6514   0.0149
  -8.000  -1.0414   0.03232   0.02568   0.0153   0.6449   0.0152
  -7.500  -1.0138   0.03003   0.02330   0.0165   0.6383   0.0154
  -7.000  -0.9858   0.02784   0.02101   0.0180   0.6314   0.0156
  -6.500  -0.9682   0.02489   0.01791   0.0203   0.6248   0.0157
  -6.000  -0.9437   0.02247   0.01536   0.0222   0.6178   0.0157
  -5.500  -0.9134   0.02038   0.01316   0.0237   0.6104   0.0156
  -5.000  -0.8813   0.01859   0.01122   0.0251   0.6030   0.0156
  -4.500  -0.8382   0.01705   0.00954   0.0250   0.5953   0.0156
  -4.000  -0.7901   0.01592   0.00829   0.0250   0.5871   0.0157
  -3.500  -0.7388   0.01504   0.00729   0.0249   0.5792   0.0159
  -3.000  -0.6850   0.01434   0.00649   0.0247   0.5710   0.0166
  -2.500  -0.6297   0.01375   0.00585   0.0243   0.5630   0.0192
  -2.000  -0.5760   0.01281   0.00507   0.0239   0.5552   0.0589
  -1.500  -0.5317   0.00943   0.00320   0.0225   0.5474   0.3639
  -1.000  -0.4735   0.00873   0.00294   0.0213   0.5390   0.4726
  -0.500  -0.4131   0.00866   0.00286   0.0205   0.5307   0.4926
  -0.000  -0.3524   0.00863   0.00278   0.0196   0.5224   0.5056
   0.500  -0.2919   0.00861   0.00268   0.0187   0.5140   0.5154
   1.000  -0.2313   0.00858   0.00262   0.0178   0.5055   0.5243
   1.500  -0.1705   0.00859   0.00262   0.0168   0.4970   0.5359
   2.000  -0.1096   0.00864   0.00265   0.0158   0.4888   0.5507
   2.500  -0.0491   0.00864   0.00262   0.0149   0.4809   0.5569
   3.500   0.0722   0.00864   0.00259   0.0128   0.4655   0.5679
   4.000   0.1328   0.00866   0.00261   0.0118   0.4590   0.5737
   4.500   0.1933   0.00873   0.00265   0.0107   0.4529   0.5801
   5.000   0.2540   0.00876   0.00273   0.0096   0.4469   0.5859
   5.500   0.3143   0.00885   0.00281   0.0085   0.4418   0.5923
   6.000   0.3750   0.00890   0.00293   0.0073   0.4364   0.5996
   6.500   0.4353   0.00899   0.00303   0.0062   0.4309   0.6072
   7.000   0.4960   0.00903   0.00317   0.0049   0.4253   0.6155
   7.500   0.5562   0.00910   0.00330   0.0037   0.4182   0.6250
   8.000   0.6166   0.00915   0.00344   0.0025   0.4111   0.6362
   8.500   0.6768   0.00918   0.00357   0.0012   0.4015   0.6509
   9.000   0.7370   0.00917   0.00381  -0.0002   0.3914   0.6801
  10.000   0.8555   0.00999   0.00477  -0.0023   0.3650   0.7548
  10.500   0.9135   0.01043   0.00519  -0.0033   0.3355   0.7648
  11.000   0.9666   0.01169   0.00614  -0.0043   0.2639   0.7730
  11.500   1.0171   0.01320   0.00740  -0.0052   0.2041   0.7797
  12.000   1.0639   0.01512   0.00902  -0.0062   0.1451   0.7852
  12.500   1.1110   0.01681   0.01057  -0.0074   0.1127   0.7901
  13.000   1.1582   0.01854   0.01224  -0.0090   0.0910   0.7944
  13.500   1.2039   0.02074   0.01441  -0.0117   0.0763   0.7982
  14.000   1.2425   0.02393   0.01765  -0.0158   0.0654   0.8013
  14.500   1.2553   0.02841   0.02214  -0.0182   0.0527   0.8037
  15.000   1.2530   0.03385   0.02753  -0.0192   0.0370   0.8056
  15.500   1.2549   0.03878   0.03249  -0.0196   0.0294   0.8072
  16.000   1.2588   0.04366   0.03742  -0.0203   0.0246   0.8082
  16.500   1.2672   0.04824   0.04209  -0.0209   0.0224   0.8092
  17.000   1.2731   0.05326   0.04716  -0.0218   0.0199   0.8101
  17.500   1.2803   0.05831   0.05230  -0.0229   0.0177   0.8106
  18.000   1.2901   0.06316   0.05724  -0.0240   0.0169   0.8113
  18.500   1.2980   0.06833   0.06250  -0.0253   0.0158   0.8117
  19.000   1.3035   0.07387   0.06811  -0.0267   0.0143   0.8122
  19.500   1.3060   0.07985   0.07415  -0.0284   0.0125   0.8126
  20.000   1.3092   0.08589   0.08026  -0.0302   0.0111   0.8128
  20.500   1.3129   0.09195   0.08641  -0.0322   0.0103   0.8129
  21.000   1.3144   0.09837   0.09290  -0.0344   0.0093   0.8132
  21.500   1.3134   0.10526   0.09987  -0.0370   0.0083   0.8143
  22.000   1.3119   0.11226   0.10698  -0.0398   0.0075   0.8155
  22.500   1.3117   0.11923   0.11406  -0.0430   0.0068   0.8159
  23.000   1.3118   0.12637   0.12132  -0.0467   0.0064   0.8151
  24.000   1.3105   0.14101   0.13622  -0.0551   0.0061   0.8137
  24.500   1.3088   0.14862   0.14397  -0.0600   0.0061   0.8130
  25.000   1.3065   0.15642   0.15192  -0.0653   0.0060   0.8122
