
line2
line3

NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kNm)
1.299999999999999940e-02 1.140000000000000036e+01 0.000000000000000000e+00 1.210999999999999943e+01 1.071000000000000077e-02 -7.186000000000000113e-04 1.060999999999999964e-02 -2.085000000000000048e-03 1.060999999999999964e-02 7.110999999999999916e-04 3.749000000000000199e+01 1.482999999999999874e-01 4.543999999999999773e+02 1.592999999999999972e+01
2.500000000000000139e-02 1.140000000000000036e+01 4.960000000000000000e+03 1.211999999999999922e+01 4.279000000000000165e-02 -2.956999999999999993e-03 4.240000000000000019e-02 -8.370999999999999969e-03 4.241999999999999937e-02 2.792999999999999910e-03 3.910999999999999943e+01 -4.538999999999999702e+00 4.566999999999999886e+02 1.635999999999999943e+02
3.799999999999999906e-02 1.140000000000000036e+01 4.922000000000000000e+03 1.213000000000000078e+01 9.403000000000000247e-02 -6.577999999999999646e-03 9.328000000000000180e-02 -1.864999999999999991e-02 9.324999999999999956e-02 6.399000000000000174e-03 4.324000000000000199e+01 -1.158000000000000007e+01 4.586000000000000227e+02 4.261000000000000227e+02
5.000000000000000278e-02 1.140000000000000036e+01 4.890000000000000000e+03 1.213000000000000078e+01 1.628999999999999893e-01 -1.142999999999999919e-02 1.620000000000000051e-01 -3.307999999999999829e-02 1.617000000000000104e-01 1.205999999999999954e-02 4.722999999999999687e+01 -2.005000000000000071e+01 4.603000000000000114e+02 7.382999999999999545e+02
6.199999999999999956e-02 1.140000000000000036e+01 4.860000000000000000e+03 1.211999999999999922e+01 2.487999999999999934e-01 -1.923000000000000057e-02 2.477000000000000035e-01 -5.244000000000000050e-02 2.469000000000000083e-01 1.729999999999999941e-02 4.050999999999999801e+01 -3.076000000000000156e+01 4.621999999999999886e+02 1.185000000000000000e+03
7.499999999999999722e-02 1.140000000000000036e+01 4.836000000000000000e+03 1.209999999999999964e+01 3.447999999999999954e-01 -2.968000000000000152e-02 3.437999999999999945e-01 -7.674999999999999878e-02 3.420000000000000262e-01 2.267999999999999877e-02 4.625000000000000000e+01 -4.204999999999999716e+01 4.626999999999999886e+02 1.660000000000000000e+03
8.799999999999999489e-02 1.140000000000000036e+01 4.816000000000000000e+03 1.207000000000000028e+01 4.563999999999999724e-01 -4.472999999999999893e-02 4.557999999999999829e-01 -1.078000000000000069e-01 4.526999999999999913e-01 2.625999999999999862e-02 5.396999999999999886e+01 -5.289999999999999858e+01 4.630000000000000000e+02 2.162000000000000000e+03
1.000000000000000056e-01 1.140000000000000036e+01 4.802000000000000000e+03 1.202999999999999936e+01 5.765000000000000124e-01 -6.418999999999999706e-02 5.767999999999999794e-01 -1.451000000000000068e-01 5.715000000000000080e-01 2.810999999999999957e-02 6.147999999999999687e+01 -6.300000000000000000e+01 4.628000000000000114e+02 2.661000000000000000e+03
1.130000000000000032e-01 1.140000000000000036e+01 4.793000000000000000e+03 1.198000000000000043e+01 7.089999999999999636e-01 -8.959999999999999909e-02 7.105000000000000204e-01 -1.902000000000000079e-01 7.024000000000000243e-01 2.665000000000000008e-02 7.056999999999999318e+01 -7.139000000000000057e+01 4.623999999999999773e+02 3.139000000000000000e+03
1.250000000000000000e-01 1.140000000000000036e+01 4.789000000000000000e+03 1.192999999999999972e+01 8.486000000000000210e-01 -1.203000000000000042e-01 8.517000000000000126e-01 -2.419999999999999929e-01 8.403000000000000469e-01 2.244000000000000161e-02 7.962999999999999545e+01 -7.801000000000000512e+01 4.616999999999999886e+02 3.583000000000000000e+03
