------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00 -0.000000000000000e+00  0.000000000000000e+00 -1.559780909424759e-01  2.000195662801704e+01  4.500000000000000e+00        1
 2.003519530288663e+00 -5.454237086148396e-03  0.000000000000000e+00 -2.436199816539686e-01  1.948685094897706e+01  4.503153041429663e+00        2
 4.007039060577327e+00 -1.703776175564845e-02  0.000000000000000e+00 -4.271904953096393e-01  1.879668789864490e+01  4.526379946263834e+00        3
 6.010558590865989e+00 -3.532996538620317e-02  0.000000000000000e+00 -5.949868043705550e-01  1.797692538658405e+01  4.579890242372151e+00        4
 8.014078121154652e+00 -5.864802583280546e-02  0.000000000000000e+00 -7.146595998759869e-01  1.706548785976363e+01  4.654221399626607e+00        5
 1.001759765144332e+01 -8.530912095044817e-02  0.000000000000000e+00 -7.862060840233299e-01  1.610029976515274e+01  4.739910887899187e+00        6
 1.202111718173198e+01 -1.136304285941242e-01  0.000000000000000e+00 -8.096240825885328e-01  1.511928554972051e+01  4.827496177061882e+00        7
 1.402463671202064e+01 -1.419291266188264e-01  0.000000000000000e+00 -8.206176579856818e-01  1.416036966043606e+01  4.907514736986682e+00        8
 1.602815624230930e+01 -1.710192034197366e-01  0.000000000000000e+00 -9.566746997109646e-01  1.322621153112202e+01  4.977030052641604e+00        9
 1.803167577259796e+01 -2.088320434147489e-01  0.000000000000000e+00 -1.147775243828101e+00  1.220742476019240e+01  5.056069688502237e+00       10
 1.997377423944637e+01 -2.500543402201528e-01  0.000000000000000e+00 -1.208573328466351e+00  1.118005725675555e+01  5.136817264095614e+00       11
 2.191587270629478e+01 -2.907576014297688e-01  0.000000000000000e+00 -1.120014788714538e+00  1.017178808917097e+01  5.213547088363634e+00       12
 2.385797117314319e+01 -3.259775755596360e-01  0.000000000000000e+00 -8.849830780760792e-01  9.240300973880741e+00  5.278259030077027e+00       13
 2.580006963999160e+01 -3.507500111257940e-01  0.000000000000000e+00 -5.035034764950200e-01  8.443279627326921e+00  5.322952958006526e+00       14
 2.774216810684000e+01 -3.601106566442823e-01  0.000000000000000e+00 -8.259301767331789e-02  7.838407765951583e+00  5.339628740922865e+00       15
 2.968426657368841e+01 -3.563491571294353e-01  0.000000000000000e+00  2.104215382363100e-01  7.380508804394238e+00  5.321843097738110e+00       16
 3.154846626446365e+01 -3.461318728719285e-01  0.000000000000000e+00  4.029441511058392e-01  6.994355715227151e+00  5.274672828936572e+00       17
 3.341266595523889e+01 -3.301286509666178e-01  0.000000000000000e+00  5.703899826412208e-01  6.651440084343431e+00  5.202926178428865e+00       18
 3.527686564601412e+01 -3.090155870001478e-01  0.000000000000000e+00  7.170593575690837e-01  6.342836872495206e+00  5.111441412809834e+00       19
 3.714106533678937e+01 -2.834687765591640e-01  0.000000000000000e+00  8.429514732047920e-01  6.059621040434604e+00  5.005056798674329e+00       20
 3.900526502756460e+01 -2.541643152303114e-01  0.000000000000000e+00  9.480650975082201e-01  5.792867548913756e+00  4.888610602617194e+00       21
 4.086946471833985e+01 -2.217782986002356e-01  0.000000000000000e+00  1.032398817407174e+00  5.533651358684794e+00  4.766941091233280e+00       22
 4.273366440911509e+01 -1.869868222555814e-01  0.000000000000000e+00  1.095951246212073e+00  5.273047430499846e+00  4.644886531117431e+00       23
 4.459786409989032e+01 -1.504659817829941e-01  0.000000000000000e+00  1.150827676727425e+00  5.002130725111039e+00  4.527285188864497e+00       24
 4.646206379066556e+01 -1.121042264838940e-01  0.000000000000000e+00  1.354612172309893e+00  4.713914472012756e+00  4.417828940729642e+00       25
